2015-04-16 ., Heavy Duty Stun Gun - BLUE ., http://trdealmgn4uvm42g.onion/item/15eba4aafa5fd787b508 ., BTC 0.33900000 ., littleblackarnold ., 0 reviews ., : Weapons
2015-04-16 ., Codeine 30 MG (200 Pills) ., http://trdealmgn4uvm42g.onion/item/2ec8579077b4b9f53775 ., BTC 2.27213143 ., idealpills ., 0 reviews ., : Pharmacy
2015-04-16 ., Heavy Duty Stun Gun - RED ., http://trdealmgn4uvm42g.onion/item/ff07e47f56ed54550f47 ., BTC 0.33890000 ., littleblackarnold ., 0 reviews ., : Weapons
2015-04-16 ., Heavy Duty Stun Gun - GREEN ., http://trdealmgn4uvm42g.onion/item/777cf8c96047886d8fef ., BTC 0.33900000 ., littleblackarnold ., 0 reviews ., : Weapons
2015-04-28 ., Beretta 92EL ., http://trdealmgn4uvm42g.onion/item/6f8369ea9d49fec6a652 ., BTC 14.00000000 ., Gunsrourright ., 0 reviews ., : Hot
2015-04-16 ., Codeine 30 MG (100 Pills) ., http://trdealmgn4uvm42g.onion/item/a9279b3ecca3b4d5e384 ., BTC 1.22345539 ., idealpills ., 0 reviews ., : Pharmacy
2015-04-16 ., Codeine 30 MG (50 Pills) ., http://trdealmgn4uvm42g.onion/item/39f73a7ee9e9716e0838 ., BTC 0.69911736 ., idealpills ., 0 reviews ., : Pharmacy
2015-04-16 ., Stun Gun  Heavy Duty ., http://trdealmgn4uvm42g.onion/item/2055fa476d10ac41481e ., BTC 0.34170000 ., littleblackarnold ., 0 reviews ., : Weapons
2015-04-16 ., Codeine 15 MG (200 Pills) ., http://trdealmgn4uvm42g.onion/item/f2ec638897e52d380b6f ., BTC 1.57301407 ., idealpills ., 0 reviews ., : Pharmacy
2015-04-16 ., VINTAGE SOLID BRASS  KNUCKLES ., http://trdealmgn4uvm42g.onion/item/d3dece9ee20af6d55b17 ., BTC 0.15110000 ., littleblackarnold ., 0 reviews ., : Weapons
2015-04-16 ., Go Pro 40% Off! ., http://trdealmgn4uvm42g.onion/item/01a4be4ba93fefd2b116 ., BTC 0.06986804 ., DOX ., 0 reviews ., : Services
2015-04-16 ., Codeine 15 MG (100 Pills) ., http://trdealmgn4uvm42g.onion/item/16b3df725bfec1faa834 ., BTC 0.87389671 ., idealpills ., 0 reviews ., : Pharmacy
2015-04-16 ., Black Wood HANDLESPRING ASSIST OPENING POCKET KNIFE Black Wood Handle Plain Blade ., http://trdealmgn4uvm42g.onion/item/2db1c384292247a21934 ., BTC 0.15180000 ., littleblackarnold ., 0 reviews ., : Weapons
